A1_LTD,,,,,,
 Time, MeasResult1_value, MeasResult2_value,,,,
5.90005,3.02E-06,-0.001440926,,,,
5.90015,3.01E-06,-0.001137785,,,,
5.90025,3.02E-06,-0.00091437,,,,
5.90035,3.01E-06,-0.00102935,,,,
5.90045,3.02E-06,-0.001041664,,,,
5.90055,3.03E-06,-0.000947091,,,,
5.90065,3.01E-06,-0.000892556,,,,
5.90075,3.02E-06,-0.001058974,,,,
5.90085,3.01E-06,-0.001041945,,,,
5.90095,3.00E-06,-0.001001555,,,,
5.90105,3.01E-06,-0.001172687,,,,
5.90115,3.02E-06,-0.000970453,,,,
5.90125,3.02E-06,-0.000879186,,,,
5.90135,3.00E-06,-0.001111116,,,,
5.90145,3.02E-06,-0.001072977,,,,
5.90155,3.00E-06,-0.001128497,,,,
5.90165,2.99E-06,-0.001228137,,,,
5.90175,3.00E-06,-0.00125762,,,,
5.90185,3.00E-06,-0.001359793,,,,
5.90195,2.99E-06,-0.001284923,,,,
5.90205,2.99E-06,-0.001420942,,,,
5.90215,3.01E-06,-0.001509816,,,,
5.90225,2.99E-06,-0.001260294,,,,
5.90235,2.97E-06,-0.001230177,,,,
5.90245,2.96E-06,-0.001315251,,,,
5.90255,2.98E-06,-0.001285204,,,,
5.90265,3.00E-06,-0.000983611,,,,
5.90275,3.03E-06,-0.001061296,,,,
5.90285,2.98E-06,-0.001110061,,,,
5.90295,2.99E-06,-0.001332139,,,,
5.90305,2.98E-06,-0.001227292,,,,
5.90315,2.97E-06,-0.001050671,,,,
5.90325,3.01E-06,-0.001218285,,,,
5.90335,3.01E-06,-0.000878553,,,,
5.90345,2.97E-06,-0.000944346,,,,
5.90355,2.99E-06,-0.000989311,,,,
5.90365,2.96E-06,-0.000902478,,,,
5.90375,2.97E-06,-0.00081079,,,,
5.90385,2.98E-06,-0.000883338,,,,
5.90395,2.98E-06,-0.000899171,,,,
5.90405,2.98E-06,-0.000988537,,,,
5.90415,2.97E-06,-0.000899311,,,,
5.90425,2.99E-06,-0.000877216,,,,
5.90435,3.01E-06,-0.000953775,,,,
5.90445,2.98E-06,-0.000864832,,,,
5.90455,3.00E-06,-0.00110992,,,,
5.90465,2.99E-06,-0.001074736,,,,
5.90475,2.98E-06,-0.0009143,,,,
5.90485,2.99E-06,-0.000911837,,,,
5.90495,2.98E-06,-0.000872009,,,,
5.90505,2.96E-06,-0.000633535,,,,
5.90515,2.96E-06,-0.000941743,,,,
5.90525,2.99E-06,-0.001017598,,,,
5.90535,2.96E-06,-0.000748656,,,,
5.90545,2.95E-06,-0.000803472,,,,
5.90555,2.95E-06,-0.00064796,,,,
5.90565,2.94E-06,-0.000894597,,,,
5.90575,2.96E-06,-0.000849843,,,,
5.90585,3.01E-06,-0.000850617,,,,
5.90595,2.97E-06,-0.001097395,,,,
5.90605,2.98E-06,-0.000771877,,,,
5.90615,2.98E-06,-0.000970734,,,,
5.90625,2.99E-06,-0.000942235,,,,
5.90635,2.97E-06,-0.001147426,,,,
5.90645,2.98E-06,-0.001086206,,,,
5.90655,2.95E-06,-0.00106003,,,,
5.90665,2.97E-06,-0.001176769,,,,
5.90675,2.95E-06,-0.001342976,,,,
5.90685,2.98E-06,-0.000991774,,,,
5.90695,2.98E-06,-0.001108724,,,,
5.90705,2.99E-06,-0.001009858,,,,
5.90715,2.96E-06,-0.000949131,,,,
5.90725,2.99E-06,-0.000804246,,,,
5.90735,2.99E-06,-0.001021398,,,,
5.90745,2.99E-06,-0.000930062,,,,
5.90755,2.98E-06,-0.000726349,,,,
5.90765,3.01E-06,-0.000895723,,,,
5.90775,3.00E-06,-0.000896286,,,,
5.90785,3.02E-06,-0.000729727,,,,
5.90795,3.01E-06,-0.000690251,,,,
5.90805,2.99E-06,-0.000521581,,,,
5.90815,2.99E-06,-0.000606725,,,,
5.90825,3.01E-06,-0.000433059,,,,
5.90835,3.01E-06,-0.000612707,,,,
5.90845,3.00E-06,-0.000911977,,,,
5.90855,3.01E-06,-0.000895089,,,,
5.90865,3.02E-06,-0.001099154,,,,
5.90875,3.00E-06,-0.001101617,,,,
5.90885,2.98E-06,-0.001011617,,,,
5.90895,2.99E-06,-0.000925558,,,,
5.90905,2.99E-06,-0.0008281,,,,
5.90915,2.99E-06,-0.001046027,,,,
5.90925,2.98E-06,-0.000886223,,,,
5.90935,2.99E-06,-0.001122093,,,,
5.90945,3.00E-06,-0.000937169,,,,
5.90955,3.01E-06,-0.001125612,,,,
5.90965,2.99E-06,-0.001043916,,,,
5.90975,2.96E-06,-0.001010843,,,,
5.90985,2.98E-06,-0.001121812,,,,
5.90995,2.96E-06,-0.000812901,,,,
5.91005,2.99E-06,-0.000820078,,,,
5.91015,3.01E-06,-0.001275634,,,,
5.91025,2.99E-06,-0.000968834,,,,
5.91035,2.98E-06,-0.000696514,,,,
5.91045,2.98E-06,-0.000659501,,,,
5.91055,3.00E-06,-0.000597226,,,,
5.91065,2.99E-06,-0.000778351,,,,
5.91075,2.96E-06,-0.000947231,,,,
5.91085,2.96E-06,-0.000805301,,,,
5.91095,2.96E-06,-0.000964964,,,,
5.91105,2.96E-06,-0.000767444,,,,
5.91115,2.97E-06,-0.000716216,,,,
5.91125,2.96E-06,-0.000880242,,,,
5.91135,2.95E-06,-0.000870531,,,,
5.91145,2.97E-06,-0.000741549,,,,
5.91155,2.94E-06,-0.000822189,,,,
5.91165,2.93E-06,-0.000934073,,,,
5.91175,2.95E-06,-0.001052782,,,,
5.91185,2.95E-06,-0.001093524,,,,
5.91195,2.95E-06,-0.000973619,,,,
5.91205,2.93E-06,-0.001023931,,,,
5.91215,2.94E-06,-0.000898678,,,,
5.91225,2.93E-06,-0.000924221,,,,
5.91235,2.91E-06,-0.001095706,,,,
5.91245,2.94E-06,-0.001041312,,,,
5.91255,2.91E-06,-0.000984667,,,,
5.91265,2.91E-06,-0.001097043,,,,
5.91275,2.94E-06,-0.000913877,,,,
5.91285,2.94E-06,-0.001136096,,,,
5.91295,2.93E-06,-0.001145033,,,,
5.91305,2.95E-06,-0.000992407,,,,
5.91315,2.94E-06,-0.001119701,,,,
5.91325,2.95E-06,-0.000930977,,,,
5.91335,2.95E-06,-0.000968834,,,,
5.91345,2.97E-06,-0.001141444,,,,
5.91355,2.99E-06,-0.001276901,,,,
5.91365,2.97E-06,-0.001477377,,,,
5.91375,2.96E-06,-0.001379426,,,,
5.91385,3.00E-06,-0.001065096,,,,
5.91395,2.97E-06,-0.000980867,,,,
5.91405,2.96E-06,-0.000842596,,,,
5.91415,2.97E-06,-0.000947231,,,,
5.91425,2.95E-06,-0.000781447,,,,
5.91435,2.96E-06,-0.00096799,,,,
5.91445,2.96E-06,-0.000939843,,,,
5.91455,2.97E-06,-0.001279645,,,,
5.91465,2.96E-06,-0.001379707,,,,
5.91475,2.95E-06,-0.001380622,,,,
5.91485,2.96E-06,-0.001334602,,,,
5.91495,2.95E-06,-0.001283023,,,,
5.91505,2.96E-06,-0.001450989,,,,
5.91515,2.98E-06,-0.001135252,,,,
5.91525,2.99E-06,-0.001095495,,,,
5.91535,2.94E-06,-0.001167832,,,,
5.91545,2.97E-06,-0.00130941,,,,
5.91555,2.97E-06,-0.001376681,,,,
5.91565,2.98E-06,-0.001131804,,,,
5.91575,2.98E-06,-0.00096989,,,,
5.91585,2.98E-06,-0.001165721,,,,
5.91595,2.97E-06,-0.001330732,,,,
5.91605,2.99E-06,-0.001554499,,,,
5.91615,2.98E-06,-0.001193868,,,,
5.91625,2.94E-06,-0.001043001,,,,
5.91635,2.95E-06,-0.001238692,,,,
