A2_LTD,,,,,,,,,,,,,,,,
 Time, MeasResult1_value, MeasResult2_value,,,,,,,,,,,,,,
5.90005,2.92E-06,-0.002563281,,,,,,,,,,,,,,
5.90015,2.66E-06,-0.002496995,,,,,,,,,,,,,,
5.90025,2.66E-06,-0.002381874,,,,,,,,,,,,,,
5.90035,2.66E-06,-0.002288849,,,,,,,,,,,,,,
5.90045,2.66E-06,-0.002326425,,,,,,,,,,,,,,
5.90055,2.66E-06,-0.002301234,,,,,,,,,,,,,,
5.90065,2.66E-06,-0.00230053,,,,,,,,,,,,,,
5.90075,2.66E-06,-0.002474688,,,,,,,,,,,,,,
5.90085,2.66E-06,-0.002247684,,,,,,,,,,,,,,
5.90095,2.66E-06,-0.002514727,,,,,,,,,,,,,,
5.90105,2.66E-06,-0.002733287,,,,,,,,,,,,,,
5.90115,2.66E-06,-0.002546815,,,,,,,,,,,,,,
5.90125,2.66E-06,-0.00238293,,,,,,,,,,,,,,
5.90135,2.66E-06,-0.002273298,,,,,,,,,,,,,,
5.90145,2.66E-06,-0.002202579,,,,,,,,,,,,,,
5.90155,2.66E-06,-0.002387222,,,,,,,,,,,,,,
5.90165,2.66E-06,-0.002266402,,,,,,,,,,,,,,
5.90175,2.66E-06,-0.002488973,,,,,,,,,,,,,,
5.90185,2.66E-06,-0.002494743,,,,,,,,,,,,,,
5.90195,2.66E-06,-0.002280405,,,,,,,,,,,,,,
5.90205,2.66E-06,-0.002430357,,,,,,,,,,,,,,
5.90215,2.66E-06,-0.002573484,,,,,,,,,,,,,,
5.90225,2.66E-06,-0.002490239,,,,,,,,,,,,,,
5.90235,2.66E-06,-0.002314463,,,,,,,,,,,,,,
5.90245,2.66E-06,-0.002733147,,,,,,,,,,,,,,
5.90255,2.66E-06,-0.002508254,,,,,,,,,,,,,,
5.90265,2.66E-06,-0.002278294,,,,,,,,,,,,,,
5.90275,2.66E-06,-0.002240085,,,,,,,,,,,,,,
5.90285,2.66E-06,-0.00240784,,,,,,,,,,,,,,
5.90295,2.66E-06,-0.002232485,,,,,,,,,,,,,,
5.90305,2.66E-06,-0.002232133,,,,,,,,,,,,,,
5.90315,2.66E-06,-0.002142134,,,,,,,,,,,,,,
5.90325,2.66E-06,-0.002068952,,,,,,,,,,,,,,
5.90335,2.66E-06,-0.002079718,,,,,,,,,,,,,,
5.90345,2.66E-06,-0.002324455,,,,,,,,,,,,,,
5.90355,2.66E-06,-0.002110187,,,,,,,,,,,,,,
5.90365,2.66E-06,-0.002074441,,,,,,,,,,,,,,
5.90375,2.66E-06,-0.002249936,,,,,,,,,,,,,,
5.90385,2.66E-06,-0.002329099,,,,,,,,,,,,,,
