A2_LTP,,,,,,,,,,,,,,,,
 Time, MeasResult1_value, MeasResult2_value,,,,,,,,,,,,,,
5.90005,5.89E-07,-0.000718011,,,,,,,,,,,,,,
5.90015,4.61E-07,-0.000756713,,,,,,,,,,,,,,
5.90025,4.62E-07,-0.000705204,,,,,,,,,,,,,,
5.90035,4.61E-07,-0.000839324,,,,,,,,,,,,,,
5.90045,4.62E-07,-0.000621608,,,,,,,,,,,,,,
5.90055,4.62E-07,-0.000469475,,,,,,,,,,,,,,
5.90065,4.62E-07,-0.000614361,,,,,,,,,,,,,,
5.90075,4.62E-07,-0.000974147,,,,,,,,,,,,,,
5.90085,4.62E-07,-0.000912717,,,,,,,,,,,,,,
5.90095,4.62E-07,-0.000621327,,,,,,,,,,,,,,
5.90105,4.62E-07,-0.000610139,,,,,,,,,,,,,,
5.90115,4.62E-07,-0.000673891,,,,,,,,,,,,,,
5.90125,4.62E-07,-0.000759809,,,,,,,,,,,,,,
5.90135,4.62E-07,-0.000875704,,,,,,,,,,,,,,
5.90145,4.62E-07,-0.000929605,,,,,,,,,,,,,,
5.90155,4.62E-07,-0.0008059,,,,,,,,,,,,,,
5.90165,4.62E-07,-0.000618371,,,,,,,,,,,,,,
5.90175,4.62E-07,-0.000693875,,,,,,,,,,,,,,
5.90185,4.62E-07,-0.000780145,,,,,,,,,,,,,,
5.90195,4.62E-07,-0.000961129,,,,,,,,,,,,,,
5.90205,4.62E-07,-0.000972951,,,,,,,,,,,,,,
5.90215,4.62E-07,-0.000932842,,,,,,,,,,,,,,
5.90225,4.62E-07,-0.000957189,,,,,,,,,,,,,,
5.90235,4.62E-07,-0.000923835,,,,,,,,,,,,,,
5.90245,4.62E-07,-0.001036211,,,,,,,,,,,,,,
5.90255,4.62E-07,-0.000816314,,,,,,,,,,,,,,
5.90265,4.61E-07,-0.000988643,,,,,,,,,,,,,,
5.90275,4.62E-07,-0.001054577,,,,,,,,,,,,,,
5.90285,4.62E-07,-0.000798511,,,,,,,,,,,,,,
5.90295,4.62E-07,-0.000733844,,,,,,,,,,,,,,
5.90305,4.61E-07,-0.000890762,,,,,,,,,,,,,,
5.90315,4.62E-07,-0.000867963,,,,,,,,,,,,,,
5.90325,4.62E-07,-0.000938682,,,,,,,,,,,,,,
5.90335,4.61E-07,-0.000757698,,,,,,,,,,,,,,
5.90345,4.62E-07,-0.000536183,,,,,,,,,,,,,,
5.90355,4.61E-07,-0.000634978,,,,,,,,,,,,,,
5.90365,4.61E-07,-0.000692468,,,,,,,,,,,,,,
5.90375,4.61E-07,-0.000519998,,,,,,,,,,,,,,
5.90385,4.61E-07,-0.000503814,,,,,,,,,,,,,,
5.90395,4.61E-07,-0.000512399,,,,,,,,,,,,,,
5.90405,4.61E-07,-0.000683391,,,,,,,,,,,,,,
5.90415,4.61E-07,-0.000829261,,,,,,,,,,,,,,
5.90425,4.61E-07,-0.000668684,,,,,,,,,,,,,,
5.90435,4.62E-07,-0.000798863,,,,,,,,,,,,,,
5.90445,4.62E-07,-0.0008021,,,,,,,,,,,,,,
5.90455,4.62E-07,-0.000690498,,,,,,,,,,,,,,
5.90465,4.62E-07,-0.000670725,,,,,,,,,,,,,,
5.90475,4.62E-07,-0.000495018,,,,,,,,,,,,,,
5.90485,4.62E-07,-0.000473204,,,,,,,,,,,,,,
5.90495,4.62E-07,-0.000762835,,,,,,,,,,,,,,
5.90505,4.62E-07,-0.000913983,,,,,,,,,,,,,,
5.90515,4.62E-07,-0.001106296,,,,,,,,,,,,,,
5.90525,4.62E-07,-0.001226906,,,,,,,,,,,,,,
5.90535,4.62E-07,-0.000993287,,,,,,,,,,,,,,
5.90545,4.62E-07,-0.000868597,,,,,,,,,,,,,,
5.90555,4.62E-07,-0.000845024,,,,,,,,,,,,,,
5.90565,4.62E-07,-0.000833695,,,,,,,,,,,,,,
5.90575,4.62E-07,-0.000865008,,,,,,,,,,,,,,
5.90585,4.62E-07,-0.000668543,,,,,,,,,,,,,,
5.90595,4.62E-07,-0.000679943,,,,,,,,,,,,,,
5.90605,4.62E-07,-0.000518802,,,,,,,,,,,,,,
5.90615,4.62E-07,-0.000767338,,,,,,,,,,,,,,
5.90625,4.63E-07,-0.000544838,,,,,,,,,,,,,,
5.90635,4.63E-07,-0.000848683,,,,,,,,,,,,,,
5.90645,4.62E-07,-0.001037689,,,,,,,,,,,,,,
5.90655,4.63E-07,-0.000816666,,,,,,,,,,,,,,
5.90665,4.63E-07,-0.000657355,,,,,,,,,,,,,,
5.90675,4.62E-07,-0.000820536,,,,,,,,,,,,,,
5.90685,4.62E-07,-0.000831021,,,,,,,,,,,,,,
5.90695,4.62E-07,-0.001090886,,,,,,,,,,,,,,
5.90705,4.62E-07,-0.000870989,,,,,,,,,,,,,,
5.90715,4.62E-07,-0.000971684,,,,,,,,,,,,,,
5.90725,4.61E-07,-0.001030019,,,,,,,,,,,,,,
5.90735,4.62E-07,-0.000950715,,,,,,,,,,,,,,
5.90745,4.62E-07,-0.000717378,,,,,,,,,,,,,,
5.90755,4.62E-07,-0.000817932,,,,,,,,,,,,,,
