Device ID,,,,
Remarks,A3_LTD_1ms_1ms_228,,,
Time,MeasResult1_value,MeasResult2_value,MeasResult1_time,MeasResult2_time
5.90005,6.71E-05,-0.001485789,5.90005,5.90005
5.90015,6.71E-05,-0.001052536,5.90015,5.90015
5.90025,6.71E-05,-0.001411058,5.90025,5.90025
5.90035,6.71E-05,-0.001413662,5.90035,5.90035
5.90045,6.71E-05,-0.001614773,5.90045,5.90045
5.90055,6.71E-05,-0.001401348,5.90055,5.90055
5.90065,6.71E-05,-0.001351879,5.90065,5.90065
5.90075,6.71E-05,-0.001233803,5.90075,5.90075
5.90085,6.71E-05,-0.001085468,5.90085,5.90085
5.90095,6.71E-05,-0.001377564,5.90095,5.90095
5.90105,6.70E-05,-0.001528221,5.90105,5.90105
5.90115,6.71E-05,-0.001021996,5.90115,5.90115
5.90125,6.70E-05,-0.001220855,5.90125,5.90125
5.90135,6.71E-05,-0.001036914,5.90135,5.90135
5.90145,6.71E-05,-0.000939314,5.90145,5.90145
5.90155,6.71E-05,-0.000988923,5.90155,5.90155
5.90165,6.71E-05,-0.001387626,5.90165,5.90165
5.90175,6.71E-05,-0.00127152,5.90175,5.90175
5.90185,6.71E-05,-0.001425695,5.90185,5.90185
5.90195,6.71E-05,-0.001259627,5.90195,5.90195
5.90205,6.71E-05,-0.00120453,5.90205,5.90205
5.90215,6.71E-05,-0.001175257,5.90215,5.90215
5.90225,6.71E-05,-0.001646016,5.90225,5.90225
5.90235,6.71E-05,-0.001680707,5.90235,5.90235
5.90245,6.71E-05,-0.002072866,5.90245,5.90245
5.90255,6.71E-05,-0.001783233,5.90255,5.90255
5.90265,6.71E-05,-0.001740731,5.90265,5.90265
5.90275,6.71E-05,-0.001743264,5.90275,5.90275
5.90285,6.71E-05,-0.001715961,5.90285,5.90285
5.90295,6.71E-05,-0.001856908,5.90295,5.90295
5.90305,6.71E-05,-0.001411058,5.90305,5.90305
5.90315,6.71E-05,-0.001234154,5.90315,5.90315
5.90325,6.71E-05,-0.001602177,5.90325,5.90325
5.90335,6.71E-05,-0.001339284,5.90335,5.90335
5.90345,6.71E-05,-0.001199604,5.90345,5.90345
5.90355,6.71E-05,-0.001416829,5.90355,5.90355
5.90365,6.71E-05,-0.00150127,5.90365,5.90365
5.90375,6.71E-05,-0.001558197,5.90375,5.90375
5.90385,6.71E-05,-0.001516328,5.90385,5.90385
5.90395,6.71E-05,-0.001477415,5.90395,5.90395
5.90405,6.71E-05,-0.001670011,5.90405,5.90405
5.90415,6.71E-05,-0.001623709,5.90415,5.90415
5.90425,6.71E-05,-0.001530191,5.90425,5.90425
5.90435,6.71E-05,-0.001713076,5.90435,5.90435
5.90445,6.70E-05,-0.001847056,5.90445,5.90445
5.90455,6.71E-05,-0.00149374,5.90455,5.90455
5.90465,6.71E-05,-0.001408525,5.90465,5.90465
5.90475,6.71E-05,-0.001692459,5.90475,5.90475
5.90485,6.71E-05,-0.001440191,5.90485,5.90485
5.90495,6.71E-05,-0.001439487,5.90495,5.90495
5.90505,6.71E-05,-0.001474108,5.90505,5.90505
5.90515,6.71E-05,-0.001319158,5.90515,5.90515
5.90525,6.71E-05,-0.001295093,5.90525,5.90525
5.90535,6.71E-05,-0.001398674,5.90535,5.90535
5.90545,6.71E-05,-0.001352865,5.90545,5.90545
5.90555,6.71E-05,-0.001594085,5.90555,5.90555
5.90565,6.71E-05,-0.001353427,5.90565,5.90565
5.90575,6.71E-05,-0.001400855,5.90575,5.90575
5.90585,6.71E-05,-0.001281652,5.90585,5.90585
5.90595,6.71E-05,-0.0013846,5.90595,5.90595
5.90605,6.70E-05,-0.001462427,5.90605,5.90605
5.90615,6.71E-05,-0.001302341,5.90615,5.90615
5.90625,6.71E-05,-0.001271871,5.90625,5.90625
5.90635,6.71E-05,-0.001318595,5.90635,5.90635
5.90645,6.71E-05,-0.001226414,5.90645,5.90645
5.90655,6.71E-05,-0.001187641,5.90655,5.90655
5.90665,6.71E-05,-0.001171598,5.90665,5.90665
5.90675,6.71E-05,-0.001243513,5.90675,5.90675
5.90685,6.70E-05,-0.001162379,5.90685,5.90685
5.90695,6.71E-05,-0.001352372,5.90695,5.90695
5.90705,6.71E-05,-0.001188908,5.90705,5.90705
5.90715,6.71E-05,-0.001402474,5.90715,5.90715
5.90725,6.71E-05,-0.001622513,5.90725,5.90725
5.90735,6.71E-05,-0.001464608,5.90735,5.90735
5.90745,6.71E-05,-0.001289393,5.90745,5.90745
5.90755,6.71E-05,-0.001470519,5.90755,5.90755
5.90765,6.71E-05,-0.001449409,5.90765,5.90765
5.90775,6.71E-05,-0.001566782,5.90775,5.90775
5.90785,6.70E-05,-0.001603373,5.90785,5.90785
5.90795,6.71E-05,-0.001398463,5.90795,5.90795
5.90805,6.71E-05,-0.001385656,5.90805,5.90805
5.90815,6.71E-05,-0.001612732,5.90815,5.90815
5.90825,6.71E-05,-0.001539479,5.90825,5.90825
5.90835,6.71E-05,-0.001410073,5.90835,5.90835
5.90845,6.71E-05,-0.001261175,5.90845,5.90845
5.90855,6.71E-05,-0.00149177,5.90855,5.90855
5.90865,6.71E-05,-0.001438009,5.90865,5.90865
5.90875,6.71E-05,-0.001457853,5.90875,5.90875
5.90885,6.71E-05,-0.001205444,5.90885,5.90885
5.90895,6.71E-05,-0.00109553,5.90895,5.90895
5.90905,6.71E-05,-0.00142471,5.90905,5.90905
5.90915,6.71E-05,-0.001161605,5.90915,5.90915
5.90925,6.71E-05,-0.001303748,5.90925,5.90925
5.90935,6.71E-05,-0.00129453,5.90935,5.90935
5.90945,6.71E-05,-0.001141902,5.90945,5.90945
5.90955,6.70E-05,-0.001387485,5.90955,5.90955
5.90965,6.70E-05,-0.001481145,5.90965,5.90965
5.90975,6.70E-05,-0.001462005,5.90975,5.90975
5.90985,6.71E-05,-0.001580926,5.90985,5.90985
5.90995,6.71E-05,-0.00135392,5.90995,5.90995
5.91005,6.71E-05,-0.001172583,5.91005,5.91005
5.91015,6.71E-05,-0.001212481,5.91015,5.91015
5.91025,6.71E-05,-0.00156446,5.91025,5.91025
5.91035,6.71E-05,-0.00179618,5.91035,5.91035
5.91045,6.71E-05,-0.001408948,5.91045,5.91045
5.91055,6.71E-05,-0.001436391,5.91055,5.91055
5.91065,6.71E-05,-0.001463412,5.91065,5.91065
5.91075,6.71E-05,-0.0013789,5.91075,5.91075
5.91085,6.71E-05,-0.000959298,5.91085,5.91085
5.91095,6.71E-05,-0.00114901,5.91095,5.91095
5.91105,6.71E-05,-0.001137329,5.91105,5.91105
5.91115,6.71E-05,-0.001120792,5.91115,5.91115
5.91125,6.71E-05,-0.001310714,5.91125,5.91125
5.91135,6.71E-05,-0.001356875,5.91135,5.91135
5.91145,6.71E-05,-0.00128306,5.91145,5.91145
5.91155,6.71E-05,-0.001537016,5.91155,5.91155
5.91165,6.71E-05,-0.001669026,5.91165,5.91165
5.91175,6.71E-05,-0.001585359,5.91175,5.91175
5.91185,6.71E-05,-0.001338791,5.91185,5.91185
5.91195,6.71E-05,-0.001447016,5.91195,5.91195
5.91205,6.71E-05,-0.001346531,5.91205,5.91205
5.91215,6.71E-05,-0.001299667,5.91215,5.91215
5.91225,6.71E-05,-0.001235562,5.91225,5.91225
5.91235,6.71E-05,-0.001129729,5.91235,5.91235
5.91245,6.71E-05,-0.001273701,5.91245,5.91245
5.91255,6.71E-05,-0.001410777,5.91255,5.91255
5.91265,6.71E-05,-0.001710191,5.91265,5.91265
5.91275,6.71E-05,-0.001561927,5.91275,5.91275
5.91285,6.71E-05,-0.001465945,5.91285,5.91285
5.91295,6.71E-05,-0.00156263,5.91295,5.91295
5.91305,6.71E-05,-0.001308111,5.91305,5.91305
5.91315,6.71E-05,-0.001211777,5.91315,5.91315
5.91325,6.71E-05,-0.001180534,5.91325,5.91325
5.91335,6.71E-05,-0.001122411,5.91335,5.91335
5.91345,6.71E-05,-0.001188556,5.91345,5.91345
5.91355,6.71E-05,-0.001093349,5.91355,5.91355
5.91365,6.71E-05,-0.001271731,5.91365,5.91365
5.91375,6.71E-05,-0.001210581,5.91375,5.91375
5.91385,6.71E-05,-0.001133247,5.91385,5.91385
5.91395,6.70E-05,-0.00106492,5.91395,5.91395
5.91405,6.71E-05,-0.001210018,5.91405,5.91405
5.91415,6.70E-05,-0.001391707,5.91415,5.91415
5.91425,6.70E-05,-0.001383897,5.91425,5.91425
5.91435,6.70E-05,-0.001502114,5.91435,5.91435
5.91445,6.71E-05,-0.001397829,5.91445,5.91445
5.91455,6.71E-05,-0.001159142,5.91455,5.91455
5.91465,6.71E-05,-0.001258079,5.91465,5.91465
5.91475,6.70E-05,-0.001405711,5.91475,5.91475
5.91485,6.71E-05,-0.001409722,5.91485,5.91485
5.91495,6.71E-05,-0.001455953,5.91495,5.91495
5.91505,6.71E-05,-0.001820176,5.91505,5.91505
5.91515,6.71E-05,-0.001299315,5.91515,5.91515
5.91525,6.71E-05,-0.001459331,5.91525,5.91525
5.91535,6.71E-05,-0.001542716,5.91535,5.91535
5.91545,6.71E-05,-0.001282356,5.91545,5.91545
5.91555,6.71E-05,-0.001397829,5.91555,5.91555
5.91565,6.71E-05,-0.001693444,5.91565,5.91565
5.91575,6.70E-05,-0.001424217,5.91575,5.91575
5.91585,6.71E-05,-0.001416899,5.91585,5.91585
5.91595,6.71E-05,-0.001214803,5.91595,5.91595
5.91605,6.71E-05,-0.001525617,5.91605,5.91605
5.91615,6.71E-05,-0.001282778,5.91615,5.91615
5.91625,6.71E-05,-0.001039588,5.91625,5.91625
5.91635,6.71E-05,-0.00104571,5.91635,5.91635
5.91645,6.71E-05,-0.001045991,5.91645,5.91645
5.91655,6.71E-05,-0.000862262,5.91655,5.91655
5.91665,6.71E-05,-0.001123818,5.91665,5.91665
5.91675,6.71E-05,-0.001083146,5.91675,5.91675
5.91685,6.71E-05,-0.000942481,5.91685,5.91685
5.91695,6.71E-05,-0.001021363,5.91695,5.91695
5.91705,6.71E-05,-0.001138243,5.91705,5.91705
5.91715,6.71E-05,-0.001250972,5.91715,5.91715
5.91725,6.71E-05,-0.001181168,5.91725,5.91725
5.91735,6.71E-05,-0.001380871,5.91735,5.91735
5.91745,6.71E-05,-0.001502466,5.91745,5.91745
5.91755,6.71E-05,-0.001448635,5.91755,5.91755
5.91765,6.71E-05,-0.001441246,5.91765,5.91765
5.91775,6.70E-05,-0.001501129,5.91775,5.91775
5.91785,6.71E-05,-0.001579941,5.91785,5.91785
5.91795,6.71E-05,-0.001757126,5.91795,5.91795
5.91805,6.71E-05,-0.0018745,5.91805,5.91805
5.91815,6.71E-05,-0.001448846,5.91815,5.91815
5.91825,6.71E-05,-0.001366375,5.91825,5.91825
5.91835,6.71E-05,-0.001439346,5.91835,5.91835
5.91845,6.71E-05,-0.001385374,5.91845,5.91845
5.91855,6.71E-05,-0.001582685,5.91855,5.91855
5.91865,6.71E-05,-0.001380378,5.91865,5.91865
5.91875,6.71E-05,-0.001212763,5.91875,5.91875
5.91885,6.71E-05,-0.001397478,5.91885,5.91885
5.91895,6.71E-05,-0.001137258,5.91895,5.91895
5.91905,6.71E-05,-0.001091871,5.91905,5.91905
5.91915,6.70E-05,-0.00117772,5.91915,5.91915
5.91925,6.70E-05,-0.001109955,5.91925,5.91925
5.91935,6.70E-05,-0.001176805,5.91935,5.91935
5.91945,6.71E-05,-0.001241332,5.91945,5.91945
5.91955,6.70E-05,-0.001096164,5.91955,5.91955
5.91965,6.71E-05,-0.00101123,5.91965,5.91965
5.91975,6.71E-05,-0.000833059,5.91975,5.91975
5.91985,6.71E-05,-0.000957187,5.91985,5.91985
5.91995,6.71E-05,-0.001165898,5.91995,5.91995
5.92005,6.71E-05,-0.000997578,5.92005,5.92005
5.92015,6.71E-05,-0.000950573,5.92015,5.92015
5.92025,6.71E-05,-0.001093912,5.92025,5.92025
5.92035,6.70E-05,-0.000946703,5.92035,5.92035
5.92045,6.70E-05,-0.000992723,5.92045,5.92045
5.92055,6.71E-05,-0.001037829,5.92055,5.92055
5.92065,6.71E-05,-0.001607806,5.92065,5.92065
5.92075,6.70E-05,-0.001834109,5.92075,5.92075
5.92085,6.71E-05,-0.001764726,5.92085,5.92085
