Device ID,
Remarks,_A3_228
Time,MeasResult1_value,MeasResult2_value,MeasResult1_time,MeasResult2_time
5.90005,1.3244447473E-05,-0.000253970356425,5.90005,5.90005
5.90015,1.3223523638E-05,-0.000421163800638,5.90015,5.90015
5.90025,1.3232762285E-05,-0.00056175829377,5.90025,5.90025
5.90035,1.3251871678E-05,-0.00061523768818,5.90035,5.90035
5.90045,1.3262720131E-05,-0.000424400699558,5.90045,5.90045
5.90055,1.3251126802E-05,-0.000585120345932,5.90055,5.90055
5.90065,1.3247555216E-05,-0.000424611818744,5.90065,5.90065
5.90075,1.3280515304E-05,-0.000148067119881,5.90075,5.90075
5.90085,1.3258382751E-05,-0.000240741253947,5.90085,5.90085
5.90095,1.325699759E-05,-2.8864393244E-05,5.90095,5.90095
5.90105,1.3228016542E-05,-0.000129208594444,5.90105,5.90105
5.90115,1.3248708456E-05,-0.000101835605165,5.90115,5.90115
5.90125,1.3228599528E-05,-0.000144548743265,5.90125,5.90125
5.90135,1.3260013475E-05,-0.000376058160327,5.90135,5.90135
5.90145,1.3213286365E-05,-0.000160944386153,5.90145,5.90145
5.90155,1.3209503777E-05,-0.000207879580557,5.90155,5.90155
5.90165,1.3220394976E-05,-0.000328137830365,5.90165,5.90165
5.90175,1.3230153854E-05,-0.000468873040518,5.90175,5.90175
5.90185,1.3245593436E-05,-0.000406879174989,5.90185,5.90185
5.90195,1.3245789887E-05,-3.9067697799E-05,5.90195,5.90195
5.90205,1.3232262972E-05,-7.6855103543E-05,5.90205,5.90205
5.90215,1.3250964912E-05,-5.4759671912E-05,5.90215,5.90215
5.90225,1.3228578609E-05,-0.000311179232085,5.90225,5.90225
5.90235,1.3242225577E-05,-0.000313219905365,5.90235,5.90235
5.90245,1.324456025E-05,-0.000735566252843,5.90245,5.90245
5.90255,1.324117784E-05,-0.000568161718547,5.90255,5.90255
5.90265,1.3225358998E-05,-0.000464088050649,5.90265,5.90265
5.90275,1.323359902E-05,-0.000403290439863,5.90275,5.90275
5.90285,1.3241115084E-05,-0.000493149855174,5.90285,5.90285
5.90295,1.32462892E-05,-0.000295346515486,5.90295,5.90295
5.90305,1.3234765902E-05,-0.0005222116597,5.90305,5.90305
5.90315,1.3271860553E-05,-0.000406105129514,5.90315,5.90315
5.90325,1.3226912415E-05,-0.000500116264448,5.90325,5.90325
5.90335,1.3241255147E-05,-0.000640358892269,5.90335,5.90335
5.90345,1.3245881746E-05,-0.0004243303556,5.90345,5.90345
5.90355,1.3257742467E-05,-0.00048540942953,5.90355,5.90355
5.90365,1.3229584511E-05,-0.000304072105791,5.90365,5.90365
5.90375,1.324657751E-05,-0.000190287682926,5.90375,5.90375
5.90385,1.3256196326E-05,-0.000164955345099,5.90385,5.90385
5.90395,1.3252005374E-05,-0.000362125370884,5.90395,5.90395
5.90405,1.3261722415E-05,-0.000220756861381,5.90405,5.90405
5.90415,1.3255028534E-05,-0.000221108697588,5.90415,5.90415
5.90425,1.326236179E-05,-0.000379295088351,5.90425,5.90425
5.90435,1.3271755051E-05,-0.000410819775425,5.90435,5.90435
5.90445,1.324918594E-05,-0.000357410754077,5.90445,5.90445
5.90455,1.3276466234E-05,-0.000619318976533,5.90455,5.90455
5.90465,1.3266812857E-05,-0.000456417968962,5.90465,5.90465
5.90475,1.325548601E-05,-0.000379787641577,5.90475,5.90475
5.90485,1.3268619114E-05,-0.000571750453673,5.90485,5.90485
5.90495,1.3255127669E-05,-0.000697497394867,5.90495,5.90495
5.90505,1.3250972188E-05,-0.000475557957543,5.90505,5.90505
5.90515,1.3254290934E-05,-0.00038189868792,5.90515,5.90515
5.90525,1.3221365407E-05,-0.000317160476698,5.90525,5.90525
5.90535,1.3264963854E-05,-0.000285072863335,5.90535,5.90535
5.90545,1.325528865E-05,-0.000171288425918,5.90545,5.90545
5.90555,1.3251260498E-05,-0.000428482046118,5.90555,5.90555
5.90565,1.3236762243E-05,-0.000333063566359,5.90565,5.90565
5.90575,1.3256273633E-05,-0.000200279886485,5.90575,5.90575
5.90585,1.324992445E-05,-0.000144126533996,5.90585,5.90585
5.90595,1.3238393876E-05,-0.000340381782735,5.90595,5.90595
5.90605,1.3250458323E-05,-6.4681502408E-05,5.90605,5.90605
5.90615,1.3237310668E-05,9.3645612651E-05,5.90615,5.90615
5.90625,1.3233064237E-05,-0.000103454054624,5.90625,5.90625
5.90635,1.3254796613E-05,-0.000254955521086,5.90635,5.90635
5.90645,1.3279109226E-05,-0.000399912794819,5.90645,5.90645
5.90655,1.3244918591E-05,-0.000100850455055,5.90655,5.90655
5.90665,1.3267776012E-05,-8.1780832261E-05,5.90665,5.90665
5.90675,1.328334929E-05,-0.000137441616971,5.90675,5.90675
5.90685,1.3310488612E-05,-0.000179028866114,5.90685,5.90685
5.90695,1.3270208001E-05,0.000157820861205,5.90695,5.90695
5.90705,1.3275735E-05,-9.4587740023E-05,5.90705,5.90705
5.90715,1.3274335288E-05,2.3418737328E-05,5.90715,5.90715
5.90725,1.3288108676E-05,-0.000153907632921,5.90725,5.90725
5.90735,1.3290035895E-05,-0.000147433805978,5.90735,5.90735
5.90745,1.3269744159E-05,-0.000115135080705,5.90745,5.90745
5.90755,1.326583515E-05,-1.983968332E-06,5.90755,5.90755
5.90765,1.3260948435E-05,-3.7519610487E-05,5.90765,5.90765
5.90775,1.3236473933E-05,-8.3821498265E-05,5.90775,5.90775
5.90785,1.327046175E-05,-2.562748341E-05,5.90785,5.90785
5.90795,1.3273990589E-05,-0.000165588659002,5.90795,5.90795
5.90805,1.3263494111E-05,-0.000209779507713,5.90805,5.90805
5.90815,1.3246929484E-05,-7.8121716797E-05,5.90815,5.90815
5.90825,1.3273232071E-05,-0.000373243470676,5.90825,5.90825
5.90835,1.3288790797E-05,-0.000180576957064,5.90835,5.90835
5.90845,1.3266939277E-05,4.481049109E-05,5.90845,5.90845
5.90855,1.3278940969E-05,2.552976548E-05,5.90855,5.90855
5.90865,1.3270292584E-05,-0.000200279886485,5.90865,5.90865
5.90875,1.3273013792E-05,-5.4618936701E-05,5.90875,5.90875
5.90885,1.3282090549E-05,-4.2867548473E-05,5.90885,5.90885
5.90895,1.3251780729E-05,-6.8270252086E-05,5.90895,5.90895
5.90905,1.3263916117E-05,-0.000232648977544,5.90905,5.90905
5.90915,1.3267515897E-05,-0.000128856758238,5.90915,5.90915
5.90925,1.3248686628E-05,-0.000125408754684,5.90925,5.90925
5.90935,1.3244440197E-05,9.7375093901E-05,5.90935,5.90935
5.90945,1.3243518879E-05,-0.000122945886687,5.90945,5.90945
5.90955,1.3252089957E-05,-0.000342281709891,5.90955,5.90955
5.90965,1.3257103092E-05,-0.000280006381217,5.90965,5.90965
5.90975,1.3252230929E-05,-0.000222516042413,5.90975,5.90975
5.90985,1.3246381059E-05,-0.000149896673975,5.90985,5.90985
5.90995,1.3264681911E-05,-0.000231452737353,5.90995,5.90995
5.91005,1.3268358998E-05,-9.3391492555E-05,5.91005,5.91005
5.91015,1.3241874512E-05,-5.8418787376E-05,5.91015,5.91015
