Device ID,
Remarks,LTD_512_A4_229
Time,MeasResult1_value,MeasResult2_value,MeasResult1_time,MeasResult2_time
5.90005,7.3941766459E-05,-0.000429360050475,5.90005,5.90005
5.90015,7.3935101682E-05,-0.000507186632603,5.90015,5.90015
5.90025,7.3907496699E-05,-0.000429993349826,5.90025,5.90025
5.90035,7.3934628745E-05,-0.000394176226109,5.90035,5.90035
5.90045,7.3922310548E-05,-0.00052414520178,5.90045,5.90045
5.90055,7.3920149589E-05,-0.000397272408009,5.90055,5.90055
5.90065,7.3933486419E-05,-0.000674098555464,5.90065,5.90065
5.90075,7.3942501331E-05,-0.000400016753701,5.90075,5.90075
5.90085,7.3930721555E-05,-0.000302276137518,5.90085,5.90085
5.90095,7.3918228736E-05,-0.000389954191633,5.90095,5.90095
5.90105,7.3949391663E-05,-0.000517952837981,5.90105,5.90105
5.90115,7.3966599302E-05,-0.000545114744455,5.90115,5.90115
5.90125,7.3943112511E-05,-0.000452933192719,5.90125,5.90125
5.90135,7.3961724411E-05,-0.000634903844912,5.90135,5.90135
5.90145,7.3959607107E-05,-0.000766772718634,5.90145,5.90145
5.90155,7.3978975706E-05,-0.000454692373751,5.90155,5.90155
5.90165,7.3983079346E-05,-0.00046306612785,5.90165,5.90165
5.90175,7.3992603575E-05,-0.000687609135639,5.90175,5.90175
5.90185,7.397079753E-05,-0.000731588923372,5.90185,5.90185
5.90195,7.3980350862E-05,-0.000541807501577,5.90195,5.90195
5.90205,7.399203605E-05,-0.000545677670743,5.90205,5.90205
5.90215,7.3974129918E-05,-0.000754739856347,5.90215,5.90215
5.90225,7.3969677032E-05,-0.000493464933243,5.90225,5.90225
5.90235,7.3951217928E-05,-0.000507749558892,5.90235,5.90235
5.90245,7.397216541E-05,-0.000769165228121,5.90245,5.90245
5.90255,7.3949202488E-05,-0.00063919625245,5.90255,5.90255
5.90265,7.3948540376E-05,-0.000361314567272,5.90265,5.90265
5.90275,7.3946532211E-05,-0.000400509306928,5.90275,5.90275
5.90285,7.3947179771E-05,-0.000409305270296,5.90285,5.90285
5.90295,7.3955103289E-05,-0.000654254923575,5.90295,5.90295
5.90305,7.3952927778E-05,-0.00056516949553,5.90305,5.90305
5.90315,7.3957540735E-05,-0.000459688482806,5.90315,5.90315
5.90325,7.3953393439E-05,-0.000332604569849,5.90325,5.90325
5.90335,7.3926967161E-05,-0.000710337888449,5.90335,5.90335
5.90345,7.3906994658E-05,-0.000651299487799,5.90345,5.90345
5.90355,7.3914488894E-05,-0.000753332511522,5.90355,5.90355
5.90365,7.3925810284E-05,-0.000914685428143,5.90365,5.90365
5.90375,7.3909679486E-05,-0.000672339403536,5.90375,5.90375
5.90385,7.3968083598E-05,-0.000631033617537,5.90385,5.90385
5.90395,7.3961782618E-05,-0.000634974159766,5.90395,5.90395
5.90405,7.3927716585E-05,-0.000583816959988,5.90405,5.90405
5.90415,7.395427383E-05,-0.000300235493341,5.90415,5.90415
5.90425,7.3988019722E-05,-0.000450681429356,5.90425,5.90425
5.90435,7.3972893006E-05,-0.00031726443558,5.90435,5.90435
5.90445,7.3935523687E-05,-0.000349352078047,5.90445,5.90445
5.90455,7.3968141805E-05,-0.000397202034947,5.90455,5.90455
5.90465,7.3955838161E-05,-0.000704286270775,5.90465,5.90465
5.90475,7.3919720307E-05,-0.00048016544315,5.90475,5.90475
5.90485,7.393945998E-05,-0.000577272730879,5.90485,5.90485
5.90495,7.3927614721E-05,-0.000575865386054,5.90495,5.90495
5.90505,7.3938746937E-05,-0.000720893032849,5.90505,5.90505
5.90515,7.3939678259E-05,-0.000767335644923,5.90515,5.90515
5.90525,7.3924391472E-05,-0.000765224627685,5.90525,5.90525
5.90535,7.3936345871E-05,-0.000842206762172,5.90535,5.90535
5.90545,7.3907140177E-05,-0.000583816959988,5.90545,5.90545
5.90555,7.3913208325E-05,-0.000633707561065,5.90555,5.90555
5.90565,7.394374552E-05,-0.000695560709573,5.90565,5.90565
5.90575,7.3921080912E-05,-0.000909689348191,5.90575,5.90575
5.90585,7.3924129538E-05,-0.000796327134594,5.90585,5.90585
5.90595,7.394370914E-05,-0.000804419396445,5.90595,5.90595
5.90605,7.3965733463E-05,-0.000886467983946,5.90605,5.90605
5.90615,7.3919378337E-05,-0.00097302015638,5.90615,5.90615
5.90625,7.3930539656E-05,-0.000758680456784,5.90625,5.90625
5.90635,7.3927214544E-05,-0.000742003321648,5.90635,5.90635
5.90645,7.3906587204E-05,-0.000554544036277,5.90645,5.90645
5.90655,7.3893876106E-05,-0.000741440395359,5.90655,5.90655
5.90665,7.3900642747E-05,-0.001044232165441,5.90665,5.90665
5.90675,7.390115934E-05,-0.000859306135681,5.90675,5.90675
5.90685,7.391008694E-05,-0.000742425501812,5.90685,5.90685
5.90695,7.3873823567E-05,-0.000842769746669,5.90695,5.90695
5.90705,7.3922128649E-05,-0.000790697697084,5.90705,5.90705
5.90715,7.3910021456E-05,-0.000894630677067,5.90715,5.90715
5.90725,7.3877527029E-05,-0.000618297082838,5.90725,5.90725
5.90735,7.3877548857E-05,-0.000457155256299,5.90735,5.90735
5.90745,7.3929833889E-05,-0.000787671888247,5.90745,5.90745
5.90755,7.3919312854E-05,-0.000803152739536,5.90755,5.90755
5.90765,7.3900322604E-05,-0.000780846225098,5.90765,5.90765
5.90775,7.3906070611E-05,-0.000703160418198,5.90775,5.90775
5.90785,7.3929972132E-05,-0.000590501877014,5.90785,5.90785
5.90795,7.3891089414E-05,-0.00078309798846,5.90795,5.90795
5.90805,7.3911767686E-05,-0.000930658890866,5.90805,5.90805
5.90815,7.3912662629E-05,-0.000695842143614,5.90815,5.90815
5.90825,7.3895833339E-05,-0.000746154983062,5.90825,5.90825
5.90835,7.3924158642E-05,-0.000729196413886,5.90835,5.90835
5.90845,7.3933180829E-05,-0.000823911221232,5.90845,5.90845
5.90855,7.3909104685E-05,-0.000731166685,5.90855,5.90855
5.90865,7.3926967161E-05,-0.000598805258051,5.90865,5.90865
5.90875,7.388627273E-05,-0.000633777934127,5.90875,5.90875
5.90885,7.392030966E-05,-0.000865357753355,5.90885,5.90885
5.90895,7.3925642937E-05,-0.00079618638847,5.90895,5.90895
5.90905,7.3919436545E-05,-0.000886538357008,5.90905,5.90905
5.90915,7.3929397331E-05,-0.000950432149693,5.90915,5.90915
5.90925,7.3958952271E-05,-0.000920596299693,5.90925,5.90925
5.90935,7.3962037277E-05,-0.000665091502015,5.90935,5.90935
5.90945,7.3927425547E-05,-0.000572769204155,5.90945,5.90945
5.90955,7.3952644016E-05,-0.000624489388429,5.90955,5.90955
5.90965,7.3916387919E-05,-0.00077599089127,5.90965,5.90965
5.90975,7.3945237091E-05,-0.000947265594732,5.90975,5.90975
5.90985,7.3929426435E-05,-0.000838477280922,5.90985,5.90985
5.90995,7.3922157753E-05,-0.001366656506434,5.90995,5.90995
5.91005,7.3949006037E-05,-0.001235420932062,5.91005,5.91005
5.91015,7.3905794125E-05,-0.001231058151461,5.91015,5.91015
5.91025,7.3901639553E-05,-0.000790205143858,5.91025,5.91025
5.91035,7.3904593592E-05,-0.000783590541687,5.91035,5.91035
5.91045,7.3897586844E-05,-0.000797804852482,5.91045,5.91045
5.91055,7.3897346738E-05,-0.000790768070146,5.91055,5.91055
5.91065,7.3929004429E-05,-0.000708367617335,5.91065,5.91065
5.91075,7.3952120147E-05,-0.00089378625853,5.91075,5.91075
5.91085,7.3945404438E-05,-0.000836295890622,5.91085,5.91085
5.91095,7.3946263001E-05,-0.000772331724875,5.91095,5.91095
5.91105,7.3953939136E-05,-0.000650314323138,5.91105,5.91105
5.91115,7.3941715527E-05,-0.000903778418433,5.91115,5.91115
5.91125,7.3980983871E-05,-0.000624700507615,5.91125,5.91125
5.91135,7.3964481999E-05,-0.000843262299895,5.91135,5.91135
5.91145,7.3962670285E-05,-0.000913418829441,5.91145,5.91145
5.91155,7.3956223787E-05,-0.001025303266943,5.91155,5.91155
5.91165,7.393470878E-05,-0.000689509091899,5.91165,5.91165
5.91175,7.3956165579E-05,-0.000922777689993,5.91175,5.91175
5.91185,7.3891147622E-05,-0.000544833252206,5.91185,5.91185
5.91195,7.3899362178E-05,-0.000584802066442,5.91195,5.91195
5.91205,7.3917115515E-05,-0.000931714370381,5.91205,5.91205
5.91215,7.3924777098E-05,-0.001044232165441,5.91215,5.91215
5.91225,7.3939270806E-05,-0.000876405450981,5.91225,5.91225
5.91235,7.3929179052E-05,-0.000726944650523,5.91235,5.91235
5.91245,7.397938316E-05,-0.00080737483222,5.91245,5.91245
5.91255,7.3955503467E-05,-0.000762691372074,5.91255,5.91255
5.91265,7.3975083069E-05,-0.000844880763907,5.91265,5.91265
5.91275,7.392889529E-05,-0.00074545131065,5.91275,5.91275
5.91285,7.3953451647E-05,-0.000963027938269,5.91285,5.91285
5.91295,7.3930066719E-05,-0.00092889968073,5.91295,5.91295
5.91305,7.3924769822E-05,-0.00085459148977,5.91305,5.91305
5.91315,7.3924857134E-05,-0.001002856064588,5.91315,5.91315
