Device ID,
Remarks,_A4_229
Time,MeasResult1_value,MeasResult2_value,MeasResult1_time,MeasResult2_time
5.90005,1.6542968297E-05,-0.000520311761647,5.90005,5.90005
5.90015,1.6537574993E-05,-0.000432211527368,5.90015,5.90015
5.90025,1.6552219677E-05,-0.000340029946528,5.90025,5.90025
5.90035,1.6556972696E-05,-0.000429185718531,5.90035,5.90035
5.90045,1.6525524188E-05,-0.000378380296752,5.90045,5.90045
5.90055,1.6528576452E-05,-0.000337004137691,5.90055,5.90055
5.90065,1.6523526938E-05,-0.000472883984912,5.90065,5.90065
5.90075,1.6539557691E-05,-0.00038999094977,5.90075,5.90075
5.90085,1.6552003217E-05,-0.000394564849557,5.90085,5.90085
5.90095,1.6544367099E-05,-0.000397590658395,5.90095,5.90095
5.90105,1.6551650333E-05,-0.00069447158603,5.90105,5.90105
5.90115,1.6555553884E-05,-0.000705167476553,5.90115,5.90115
5.90125,1.6549021893E-05,-0.000718185445294,5.90125,5.90125
5.90135,1.6561782104E-05,-0.000411664164858,5.90135,5.90135
5.90145,1.6573601897E-05,-0.000398223957745,5.90145,5.90145
5.90155,1.6551812223E-05,-0.000502860581037,5.90155,5.90155
5.90165,1.6519752535E-05,-0.000754776643589,5.90165,5.90165
5.90175,1.651895036E-05,-0.000669350323733,5.90175,5.90175
5.90185,1.6533756934E-05,-0.000749358325265,5.90185,5.90185
5.90195,1.6525131286E-05,-0.000425104401074,5.90195,5.90195
5.90205,1.6559897631E-05,-0.000204501935514,5.90205,5.90205
5.90215,1.6580786905E-05,-0.000319764076266,5.90215,5.90215
5.90225,1.656468703E-05,-0.000303086970234,5.90225,5.90225
5.90235,1.6521693396E-05,-0.000156651964062,5.90235,5.90235
5.90245,1.6555750335E-05,-0.000482876203023,5.90245,5.90245
5.90255,1.656600034E-05,-0.000364869716577,5.90255,5.90255
5.90265,1.6588182916E-05,-0.000350585090928,5.90265,5.90265
5.90275,1.6565045371E-05,-0.000633181422018,5.90275,5.90275
5.90285,1.6581856471E-05,-0.000307027541567,5.90285,5.90285
5.90295,1.6546335246E-05,-0.000133008448756,5.90295,5.90295
5.90305,1.6536394469E-05,-0.000361984653864,5.90305,5.90305
5.90315,1.6537869669E-05,-0.000505675270688,5.90315,5.90315
5.90325,1.6574269466E-05,-0.000768568657804,5.90325,5.90325
5.90335,1.6531957954E-05,-0.000694330839906,5.90335,5.90335
5.90345,1.6569903892E-05,-0.000689968059305,5.90345,5.90345
5.90355,1.6538242562E-05,-0.000876019999851,5.90355,5.90355
5.90365,1.6538298951E-05,-0.000814307597466,5.90365,5.90365
5.90375,1.6531212168E-05,-0.000802556227427,5.90375,5.90375
5.90385,1.6548339772E-05,-0.000718889117707,5.90385,5.90385
5.90395,1.6528540073E-05,-0.000700663949829,5.90395,5.90395
