Device ID,,,,
Remarks,_A5_234,,,
Time,MeasResult1_value,MeasResult2_value,MeasResult1_time,MeasResult2_time
5.90005,8.47E-05,-0.000832215,5.90005,5.90005
5.90015,8.47E-05,-0.000718993,5.90015,5.90015
5.90025,8.47E-05,-0.000671847,5.90025,5.90025
5.90035,8.47E-05,-0.00084094,5.90035,5.90035
5.90045,8.47E-05,-0.000961832,5.90045,5.90045
5.90055,8.47E-05,-0.000793653,5.90055,5.90055
5.90065,8.47E-05,-0.000520768,5.90065,5.90065
5.90075,8.47E-05,-0.000722019,5.90075,5.90075
5.90085,8.47E-05,-0.000780987,5.90085,5.90085
5.90095,8.47E-05,-0.000838829,5.90095,5.90095
5.90105,8.47E-05,-0.000778735,5.90105,5.90105
5.90115,8.47E-05,-0.000691902,5.90115,5.90115
5.90125,8.47E-05,-0.000634763,5.90125,5.90125
5.90135,8.47E-05,-0.000853747,5.90135,5.90135
5.90145,8.47E-05,-0.000826937,5.90145,5.90145
5.90155,8.47E-05,-0.000888438,5.90155,5.90155
5.90165,8.47E-05,-0.000900964,5.90165,5.90165
5.90175,8.47E-05,-0.000724623,5.90175,5.90175
5.90185,8.47E-05,-0.000778172,5.90185,5.90185
5.90195,8.47E-05,-0.000843192,5.90195,5.90195
5.90205,8.47E-05,-0.000857688,5.90205,5.90205
5.90215,8.47E-05,-0.000853184,5.90215,5.90215
5.90225,8.47E-05,-0.00068585,5.90225,5.90225
5.90235,8.47E-05,-0.000770713,5.90235,5.90235
5.90245,8.47E-05,-0.000909478,5.90245,5.90245
5.90255,8.47E-05,-0.00075094,5.90255,5.90255
5.90265,8.47E-05,-0.000655873,5.90265,5.90265
5.90275,8.47E-05,-0.000724763,5.90275,5.90275
5.90285,8.47E-05,-0.000566295,5.90285,5.90285
5.90295,8.47E-05,-0.000692816,5.90295,5.90295
5.90305,8.47E-05,-0.000741792,5.90305,5.90305
5.90315,8.47E-05,-0.000875843,5.90315,5.90315
5.90325,8.47E-05,-0.000794709,5.90325,5.90325
5.90335,8.47E-05,-0.000973302,5.90335,5.90335
5.90345,8.47E-05,-0.000605279,5.90345,5.90345
5.90355,8.47E-05,-0.000501416,5.90355,5.90355
5.90365,8.47E-05,-0.000663262,5.90365,5.90365
5.90375,8.47E-05,-0.000756006,5.90375,5.90375
5.90385,8.47E-05,-0.00059782,5.90385,5.90385
5.90395,8.47E-05,-0.000700557,5.90395,5.90395
5.90405,8.47E-05,-0.000840025,5.90405,5.90405
5.90415,8.47E-05,-0.001127759,5.90415,5.90415
5.90425,8.47E-05,-0.000993075,5.90425,5.90425
5.90435,8.47E-05,-0.00107442,5.90435,5.90435
5.90445,8.47E-05,-0.00075087,5.90445,5.90445
5.90455,8.47E-05,-0.001103834,5.90455,5.90455
5.90465,8.47E-05,-0.001065061,5.90465,5.90465
5.90475,8.47E-05,-0.001135429,5.90475,5.90475
5.90485,8.47E-05,-0.001058024,5.90485,5.90485
5.90495,8.47E-05,-0.000936499,5.90495,5.90495
5.90505,8.47E-05,-0.000659814,5.90505,5.90505
5.90515,8.47E-05,-0.000481151,5.90515,5.90515
5.90525,8.47E-05,-0.000775428,5.90525,5.90525
5.90535,8.47E-05,-0.000641167,5.90535,5.90535
5.90545,8.47E-05,-0.000733067,5.90545,5.90545
5.90555,8.47E-05,-0.000818774,5.90555,5.90555
5.90565,8.47E-05,-0.000867258,5.90565,5.90565
5.90575,8.47E-05,-0.00070499,5.90575,5.90575
5.90585,8.47E-05,-0.000757836,5.90585,5.90585
5.90595,8.47E-05,-0.000542441,5.90595,5.90595
5.90605,8.47E-05,-0.000520205,5.90605,5.90605
5.90615,8.47E-05,-0.000678813,5.90615,5.90615
5.90625,8.47E-05,-0.000498672,5.90625,5.90625
5.90635,8.47E-05,-0.000584239,5.90635,5.90635
5.90645,8.47E-05,-0.000815889,5.90645,5.90645
5.90655,8.47E-05,-0.000714349,5.90655,5.90655
5.90665,8.47E-05,-0.000494802,5.90665,5.90665
5.90675,8.47E-05,-0.000910182,5.90675,5.90675
5.90685,8.47E-05,-0.00090216,5.90685,5.90685
5.90695,8.47E-05,-0.000723778,5.90695,5.90695
5.90705,8.47E-05,-0.000877742,5.90705,5.90705
5.90715,8.47E-05,-0.001095882,5.90715,5.90715
5.90725,8.47E-05,-0.001017281,5.90725,5.90725
5.90735,8.47E-05,-0.001087368,5.90735,5.90735
5.90745,8.47E-05,-0.000776906,5.90745,5.90745
5.90755,8.47E-05,-0.00066854,5.90755,5.90755
5.90765,8.47E-05,-0.00060739,5.90765,5.90765
5.90775,8.47E-05,-0.000738907,5.90775,5.90775
5.90785,8.47E-05,-0.000893646,5.90785,5.90785
5.90795,8.47E-05,-0.000801534,5.90795,5.90795
5.90805,8.47E-05,-0.001076179,5.90805,5.90805
5.90815,8.47E-05,-0.00108026,5.90815,5.90815
5.90825,8.47E-05,-0.000820534,5.90825,5.90825
5.90835,8.47E-05,-0.000769095,5.90835,5.90835
5.90845,8.47E-05,-0.000609009,5.90845,5.90845
5.90855,8.47E-05,-0.0007337,5.90855,5.90855
5.90865,8.47E-05,-0.00108969,5.90865,5.90865
5.90875,8.47E-05,-0.001120018,5.90875,5.90875
5.90885,8.47E-05,-0.001087297,5.90885,5.90885
5.90895,8.46E-05,-0.00106295,5.90895,5.90895
5.90905,8.47E-05,-0.001230917,5.90905,5.90905
5.90915,8.47E-05,-0.001173357,5.90915,5.90915
5.90925,8.47E-05,-0.001100315,5.90925,5.90925
5.90935,8.47E-05,-0.001017,5.90935,5.90935
5.90945,8.47E-05,-0.001033396,5.90945,5.90945
5.90955,8.47E-05,-0.000783028,5.90955,5.90955
5.90965,8.47E-05,-0.000756147,5.90965,5.90965
5.90975,8.47E-05,-0.000490509,5.90975,5.90975
5.90985,8.47E-05,-0.000640533,5.90985,5.90985
5.90995,8.47E-05,-0.000826937,5.90995,5.90995
5.91005,8.47E-05,-0.000775287,5.91005,5.91005
5.91015,8.47E-05,-0.000853466,5.91015,5.91015
5.91025,8.47E-05,-0.000997438,5.91025,5.91025
5.91035,8.47E-05,-0.001121777,5.91035,5.91035
5.91045,8.47E-05,-0.000857828,5.91045,5.91045
5.91055,8.47E-05,-0.000958454,5.91055,5.91055
5.91065,8.47E-05,-0.000708438,5.91065,5.91065
5.91075,8.47E-05,-0.000876968,5.91075,5.91075
5.91085,8.47E-05,-0.000817086,5.91085,5.91085
5.91095,8.47E-05,-0.000983012,5.91095,5.91095
5.91105,8.47E-05,-0.000704286,5.91105,5.91105
5.91115,8.47E-05,-0.000864232,5.91115,5.91115
5.91125,8.47E-05,-0.000836296,5.91125,5.91125
5.91135,8.47E-05,-0.000808641,5.91135,5.91135
5.91145,8.47E-05,-0.000769236,5.91145,5.91145
5.91155,8.47E-05,-0.000635396,5.91155,5.91155
5.91165,8.47E-05,-0.000687187,5.91165,5.91165
5.91175,8.47E-05,-0.000872746,5.91175,5.91175
5.91185,8.47E-05,-0.000807516,5.91185,5.91185
5.91195,8.47E-05,-0.001200448,5.91195,5.91195
5.91205,8.47E-05,-0.001134021,5.91205,5.91205
5.91215,8.47E-05,-0.000999338,5.91215,5.91215
5.91225,8.47E-05,-0.00093094,5.91225,5.91225
5.91235,8.47E-05,-0.00089639,5.91235,5.91235
5.91245,8.47E-05,-0.00059782,5.91245,5.91245
5.91255,8.47E-05,-0.000528719,5.91255,5.91255
5.91265,8.47E-05,-0.000508664,5.91265,5.91265
5.91275,8.47E-05,-0.000580439,5.91275,5.91275
5.91285,8.47E-05,-0.000735318,5.91285,5.91285
5.91295,8.47E-05,-0.000590009,5.91295,5.91295
5.91305,8.47E-05,-0.000733207,5.91305,5.91305
5.91315,8.47E-05,-0.000704357,5.91315,5.91315
5.91325,8.47E-05,-0.000512675,5.91325,5.91325
5.91335,8.47E-05,-0.000436467,5.91335,5.91335
5.91345,8.47E-05,-0.000379188,5.91345,5.91345
5.91355,8.47E-05,-0.000559822,5.91355,5.91355
5.91365,8.47E-05,-0.000586139,5.91365,5.91365
5.91375,8.47E-05,-0.000579524,5.91375,5.91375
5.91385,8.46E-05,-0.000684583,5.91385,5.91385
5.91395,8.47E-05,-0.000599157,5.91395,5.91395
5.91405,8.47E-05,-0.000574528,5.91405,5.91405
5.91415,8.47E-05,-0.000530338,5.91415,5.91415
5.91425,8.47E-05,-0.000684161,5.91425,5.91425
5.91435,8.47E-05,-0.000724763,5.91435,5.91435
5.91445,8.47E-05,-0.000551659,5.91445,5.91445
5.91455,8.47E-05,-0.00054237,5.91455,5.91455
5.91465,8.47E-05,-0.000903004,5.91465,5.91465
5.91475,8.47E-05,-0.000814271,5.91475,5.91475
5.91485,8.47E-05,-0.000707664,5.91485,5.91485
5.91495,8.47E-05,-0.000382214,5.91495,5.91495
5.91505,8.47E-05,-0.000639337,5.91505,5.91505
5.91515,8.47E-05,-0.000784154,5.91515,5.91515
5.91525,8.47E-05,-0.000565944,5.91525,5.91525
5.91535,8.47E-05,-0.000856843,5.91535,5.91535
5.91545,8.47E-05,-0.000756077,5.91545,5.91545
5.91555,8.47E-05,-0.00072413,5.91555,5.91555
5.91565,8.47E-05,-0.000705975,5.91565,5.91565
5.91575,8.47E-05,-0.000778032,5.91575,5.91575
5.91585,8.48E-05,-0.001011793,5.91585,5.91585
5.91595,8.47E-05,-0.000728845,5.91595,5.91595
5.91605,8.47E-05,-0.001012919,5.91605,5.91605
5.91615,8.47E-05,-0.000918063,5.91615,5.91615
5.91625,8.47E-05,-0.000893646,5.91625,5.91625
5.91635,8.47E-05,-0.000870213,5.91635,5.91635
5.91645,8.47E-05,-0.001172864,5.91645,5.91645
5.91655,8.47E-05,-0.001013059,5.91655,5.91655
5.91665,8.47E-05,-0.001054717,5.91665,5.91665
5.91675,8.47E-05,-0.000684654,5.91675,5.91675
5.91685,8.47E-05,-0.000720893,5.91685,5.91685
5.91695,8.47E-05,-0.000669736,5.91695,5.91695
5.91705,8.47E-05,-0.000834466,5.91705,5.91705
5.91715,8.47E-05,-0.000453918,5.91715,5.91715
5.91725,8.47E-05,-0.000567914,5.91725,5.91725
5.91735,8.47E-05,-0.00051556,5.91735,5.91735
5.91745,8.47E-05,-0.000662769,5.91745,5.91745
5.91755,8.47E-05,-0.000625404,5.91755,5.91755
5.91765,8.47E-05,-0.000684513,5.91765,5.91765
5.91775,8.47E-05,-0.000675647,5.91775,5.91775
5.91785,8.47E-05,-0.000635819,5.91785,5.91785
